No of Persons Voted,Duration_Min,Drama,Genre_Count,Description_Word_Count,Description_Char_Count,Written_by_freq,No of Persons Voted_Log,Release_Year,Film_Age,Release_Decade,Rating
793.0,123.0,1.0,1.0,113.0,656.0,7.0,6.677083461247136,2011.0,14.0,2010.0,8.7
1405.0,195.0,1.0,3.0,32.0,216.0,1.0,7.2485040723706105,1993.0,32.0,1990.0,8.8
1993.0,98.0,0.0,4.0,31.0,170.0,1.0,7.597897950521784,2008.0,17.0,2000.0,8.7
731.0,118.0,1.0,2.0,138.0,855.0,1.0,6.595780513961311,2015.0,10.0,2010.0,7.9
602.0,109.0,1.0,2.0,34.0,196.0,2.0,6.401917196727186,2013.0,12.0,2010.0,8.3
31.0,111.0,1.0,4.0,20.0,123.0,13.0,3.4657359027997265,2018.0,7.0,2010.0,8.0
31.0,111.0,1.0,4.0,20.0,123.0,13.0,3.4657359027997265,2018.0,7.0,2010.0,8.0
31.0,111.0,1.0,4.0,39.0,238.0,13.0,3.4657359027997265,2007.0,18.0,2000.0,8.0
31.0,111.0,1.0,4.0,39.0,238.0,13.0,3.4657359027997265,2007.0,18.0,2000.0,8.0
3385.0,106.0,1.0,5.0,38.0,221.0,4.0,8.12740456269308,2017.0,8.0,2010.0,8.2
189.0,95.0,1.0,2.0,74.0,413.0,1.0,5.247024072160486,2015.0,10.0,2010.0,7.3
1325.0,114.0,1.0,2.0,27.0,165.0,7.0,7.189922170745808,1976.0,49.0,1970.0,7.7
29.0,178.0,1.0,1.0,77.0,472.0,1.0,3.4011973816621555,2024.0,1.0,2020.0,7.4
76.0,173.0,1.0,2.0,24.0,155.0,1.0,4.343805421853684,2000.0,25.0,2000.0,8.5
162.0,150.0,1.0,3.0,113.0,672.0,11.0,5.093750200806762,2014.0,11.0,2010.0,6.9
1371.0,209.0,1.0,3.0,86.0,547.0,1.0,7.22402480828583,2019.0,6.0,2010.0,8.1
195.0,89.0,1.0,3.0,16.0,83.0,1.0,5.278114659230517,1989.0,36.0,1980.0,8.7
563.0,120.0,1.0,5.0,54.0,301.0,1.0,6.335054251498059,2000.0,25.0,2000.0,8.4
7.0,83.0,1.0,3.0,30.0,164.0,1.0,2.0794415416798357,1970.0,55.0,1970.0,7.6
69.0,88.0,0.0,2.0,9.0,46.0,1.0,4.248495242049359,1984.0,41.0,1980.0,8.5
48.0,93.0,1.0,2.0,122.0,718.0,4.0,3.8918202981106265,2015.0,10.0,2010.0,8.5
48.0,93.0,1.0,2.0,122.0,718.0,4.0,3.8918202981106265,2015.0,10.0,2010.0,8.5
48.0,93.0,1.0,2.0,76.0,407.0,4.0,3.8918202981106265,2011.0,14.0,2010.0,8.5
48.0,93.0,1.0,2.0,76.0,407.0,4.0,3.8918202981106265,2011.0,14.0,2010.0,8.5
363.0,126.0,1.0,3.0,45.0,292.0,1.0,5.8971538676367405,2004.0,21.0,2000.0,7.7
813.0,153.0,1.0,3.0,31.0,171.0,2.0,6.70196036600254,1979.0,46.0,1970.0,8.8
57.0,90.0,0.0,4.0,105.0,632.0,1.0,4.060443010546419,2011.0,14.0,2010.0,6.5
87.0,89.0,0.0,2.0,113.0,747.0,1.0,4.477336814478207,2017.0,8.0,2010.0,7.0
177.0,94.0,1.0,2.0,59.0,348.0,9.0,5.181783550292085,1978.0,47.0,1970.0,8.3
250.0,106.0,1.0,2.0,51.0,294.0,1.0,5.5254529391317835,2023.0,2.0,2020.0,8.0
3220.0,201.0,1.0,4.0,75.0,425.0,2.0,8.0774471493312,2003.0,22.0,2000.0,8.9
1251.0,132.0,1.0,2.0,168.0,1093.0,1.0,7.132497551660044,2017.0,8.0,2010.0,8.0
4.0,133.0,1.0,3.0,119.0,711.0,2.0,1.6094379124341003,2023.0,2.0,2020.0,5.5
5.0,129.0,1.0,3.0,119.0,711.0,2.0,1.791759469228055,2023.0,2.0,2020.0,7.4
121.0,325.0,1.0,4.0,47.0,289.0,1.0,4.804021044733257,2010.0,15.0,2010.0,8.3
694.0,137.0,1.0,2.0,15.0,95.0,5.0,6.543911845564792,2019.0,6.0,2010.0,8.1
233.0,104.0,1.0,4.0,21.0,132.0,1.0,5.455321115357702,1971.0,54.0,1970.0,8.4
2531.0,128.0,1.0,5.0,68.0,401.0,4.0,7.836764783264067,2016.0,9.0,2010.0,8.4
17.0,202.0,1.0,1.0,37.0,223.0,2.0,2.8903717578961645,1978.0,47.0,1970.0,6.5
57.0,72.0,1.0,2.0,37.0,211.0,4.0,4.060443010546419,2021.0,4.0,2020.0,7.7
1087.0,94.0,1.0,2.0,80.0,511.0,1.0,6.992096427415888,2017.0,8.0,2010.0,7.6
39.0,111.0,1.0,3.0,22.0,149.0,1.0,3.6888794541139363,1990.0,35.0,1990.0,8.0
34.0,105.0,0.0,3.0,64.0,416.0,1.0,3.5553480614894135,2020.0,5.0,2020.0,7.4
317.0,121.0,1.0,3.0,73.0,439.0,8.0,5.762051382780177,2018.0,7.0,2010.0,8.6
197.0,162.0,1.0,2.0,188.0,1149.0,2.0,5.288267030694535,2016.0,9.0,2010.0,7.1
57.0,102.0,1.0,3.0,32.0,178.0,1.0,4.060443010546419,1972.0,53.0,1970.0,8.6
737.0,135.0,1.0,3.0,61.0,370.0,1.0,6.6039438246004725,2019.0,6.0,2010.0,7.2
585.0,104.0,1.0,2.0,38.0,220.0,6.0,6.373319789577012,2013.0,12.0,2010.0,7.8
18.0,168.0,0.0,1.0,93.0,604.0,1.0,2.9444389791664403,2023.0,2.0,2020.0,4.9
52.0,94.0,1.0,3.0,56.0,360.0,2.0,3.970291913552122,2004.0,21.0,2000.0,8.1
24.0,96.0,0.0,1.0,175.0,1018.0,1.0,3.2188758248682006,2015.0,10.0,2010.0,7.8
1108.0,158.0,1.0,1.0,111.0,676.0,1.0,7.011213987350367,2007.0,18.0,2000.0,8.7
30.0,95.0,1.0,1.0,76.0,427.0,1.0,3.4339872044851463,2013.0,12.0,2010.0,8.1
45.0,118.0,1.0,2.0,26.0,150.0,1.0,3.828641396489095,1971.0,54.0,1970.0,8.2
45.0,170.0,1.0,2.0,99.0,595.0,1.0,3.828641396489095,2015.0,10.0,2010.0,5.3
216.0,120.0,1.0,2.0,33.0,203.0,6.0,5.37989735354046,1989.0,36.0,1980.0,8.2
48.0,82.0,0.0,5.0,70.0,427.0,1.0,3.8918202981106265,2009.0,16.0,2000.0,7.2
12.0,100.0,0.0,3.0,28.0,158.0,1.0,2.5649493574615367,1981.0,44.0,1980.0,7.3
12.0,104.0,0.0,3.0,182.0,1142.0,1.0,2.5649493574615367,1992.0,33.0,1990.0,7.8
178.0,94.0,1.0,3.0,28.0,184.0,9.0,5.187385805840755,1973.0,52.0,1970.0,8.3
7.0,125.0,1.0,1.0,142.0,896.0,1.0,2.0794415416798357,1993.0,32.0,1990.0,5.9
41.0,119.0,1.0,4.0,7.0,44.0,1.0,3.7376696182833684,1995.0,30.0,1990.0,8.3
22.0,106.0,1.0,2.0,23.0,148.0,4.0,3.1354942159291497,2022.0,3.0,2020.0,7.5
1047.0,128.0,1.0,3.0,79.0,533.0,1.0,6.954638864880987,2015.0,10.0,2010.0,8.1
126.0,167.0,1.0,3.0,18.0,107.0,1.0,4.844187086458591,1976.0,49.0,1970.0,7.9
11.0,108.0,1.0,2.0,22.0,123.0,1.0,2.4849066497880004,1972.0,53.0,1970.0,7.9
53.0,112.0,0.0,2.0,120.0,740.0,1.0,3.9889840465642745,2016.0,9.0,2010.0,7.8
160.0,112.0,1.0,2.0,83.0,510.0,1.0,5.081404364984463,2007.0,18.0,2000.0,8.4
32.0,98.0,1.0,3.0,59.0,426.0,4.0,3.4965075614664802,1999.0,26.0,1990.0,8.6
60.0,128.0,1.0,1.0,119.0,749.0,1.0,4.110873864173311,2008.0,17.0,2000.0,7.9
208.0,120.0,1.0,2.0,21.0,111.0,1.0,5.342334251964811,1986.0,39.0,1980.0,8.3
1329.0,122.0,1.0,3.0,127.0,749.0,1.0,7.1929342212158,2007.0,18.0,2000.0,8.5
399.0,130.0,1.0,3.0,59.0,407.0,1.0,5.991464547107982,1974.0,51.0,1970.0,8.6
33.0,100.0,1.0,1.0,32.0,194.0,2.0,3.5263605246161616,2009.0,16.0,2000.0,7.0
58.0,182.0,1.0,3.0,57.0,338.0,2.0,4.07753744390572,2019.0,6.0,2010.0,8.0
35.0,89.0,1.0,1.0,24.0,162.0,1.0,3.58351893845611,2002.0,23.0,2000.0,8.2
405.0,111.0,1.0,1.0,126.0,836.0,4.0,6.0063531596017325,2017.0,8.0,2010.0,7.4
88.0,97.0,1.0,2.0,117.0,744.0,1.0,4.48863636973214,2015.0,10.0,2010.0,7.3
36.0,116.0,0.0,1.0,21.0,112.0,1.0,3.6109179126442243,1972.0,53.0,1970.0,7.6
4.0,127.0,1.0,1.0,37.0,228.0,3.0,1.6094379124341003,2021.0,4.0,2020.0,4.8
134.0,115.0,0.0,5.0,17.0,127.0,1.0,4.90527477843843,2013.0,12.0,2010.0,8.3
11.0,118.0,0.0,1.0,67.0,400.0,10.0,2.4849066497880004,2023.0,2.0,2020.0,6.4
17.0,110.0,1.0,1.0,38.0,234.0,1.0,2.8903717578961645,1997.0,28.0,1990.0,8.0
38.0,93.0,1.0,3.0,16.0,108.0,10.0,3.6635616461296463,2002.0,23.0,2000.0,7.8
610.0,115.0,0.0,3.0,41.0,242.0,2.0,6.415096959171596,1982.0,43.0,1980.0,8.2
89.0,102.0,0.0,0.0,31.0,171.0,1.0,4.499809670330265,2001.0,24.0,2000.0,8.2
1997.0,101.0,1.0,1.0,37.0,226.0,3.0,7.599901959208498,2020.0,5.0,2020.0,0.9
234.0,93.0,0.0,2.0,72.0,453.0,4.0,5.459585514144159,1977.0,48.0,1970.0,6.8
2657.0,178.0,1.0,4.0,41.0,240.0,2.0,7.885329239273191,2001.0,24.0,2000.0,9.0
125.0,133.0,1.0,3.0,22.0,143.0,1.0,4.836281906951478,1994.0,31.0,1990.0,8.4
28.0,87.0,0.0,1.0,100.0,539.0,10.0,3.367295829986474,2014.0,11.0,2010.0,6.0
28.0,87.0,0.0,1.0,100.0,539.0,10.0,3.367295829986474,2014.0,11.0,2010.0,6.0
28.0,87.0,0.0,1.0,100.0,539.0,10.0,3.367295829986474,2014.0,11.0,2010.0,6.0
28.0,87.0,0.0,1.0,72.0,479.0,10.0,3.367295829986474,2013.0,12.0,2010.0,6.0
28.0,87.0,0.0,1.0,72.0,479.0,10.0,3.367295829986474,2013.0,12.0,2010.0,6.0
28.0,87.0,0.0,1.0,72.0,479.0,10.0,3.367295829986474,2013.0,12.0,2010.0,6.0
28.0,87.0,0.0,1.0,15.0,97.0,10.0,3.367295829986474,1989.0,36.0,1980.0,6.0
28.0,87.0,0.0,1.0,15.0,97.0,10.0,3.367295829986474,1989.0,36.0,1980.0,6.0
28.0,87.0,0.0,1.0,15.0,97.0,10.0,3.367295829986474,1989.0,36.0,1980.0,6.0
11.0,240.0,0.0,1.0,99.0,618.0,1.0,2.4849066497880004,2023.0,2.0,2020.0,8.9
65.0,145.0,1.0,2.0,68.0,409.0,1.0,4.189654742026425,2001.0,24.0,2000.0,7.9
35.0,140.0,1.0,3.0,75.0,472.0,1.0,3.58351893845611,2003.0,22.0,2000.0,8.0
1801.0,103.0,0.0,5.0,64.0,351.0,1.0,7.496652438168283,2010.0,15.0,2010.0,8.7
99.0,120.0,1.0,2.0,61.0,398.0,6.0,4.605170185988092,2019.0,6.0,2010.0,6.3
132.0,82.0,0.0,2.0,22.0,125.0,1.0,4.890349128221754,1984.0,41.0,1980.0,7.9
1266.0,146.0,1.0,3.0,22.0,131.0,2.0,7.144407180321139,1990.0,35.0,1990.0,8.7
207.0,105.0,1.0,3.0,28.0,148.0,1.0,5.337538079701318,2023.0,2.0,2020.0,7.2
90.0,103.0,0.0,3.0,101.0,647.0,1.0,4.51085950651685,2015.0,10.0,2010.0,8.3
56.0,96.0,0.0,3.0,114.0,677.0,1.0,4.04305126783455,2016.0,9.0,2010.0,8.0
219.0,148.0,1.0,3.0,72.0,459.0,1.0,5.393627546352362,2018.0,7.0,2010.0,7.8
160.0,179.0,1.0,1.0,125.0,769.0,1.0,5.081404364984463,2021.0,4.0,2020.0,7.5
13.0,124.0,1.0,1.0,97.0,639.0,1.0,2.6390573296152584,2004.0,21.0,2000.0,8.8
18.0,113.0,1.0,3.0,104.0,646.0,2.0,2.9444389791664403,2014.0,11.0,2010.0,7.9
39.0,122.0,1.0,1.0,60.0,355.0,1.0,3.6888794541139363,2023.0,2.0,2020.0,5.1
19.0,172.0,1.0,1.0,43.0,258.0,1.0,2.995732273553991,2002.0,23.0,2000.0,8.3
612.0,138.0,1.0,4.0,28.0,187.0,1.0,6.418364935936212,1997.0,28.0,1990.0,8.6
12.0,97.0,1.0,3.0,94.0,577.0,9.0,2.5649493574615367,2020.0,5.0,2020.0,6.9
12.0,97.0,1.0,3.0,94.0,577.0,9.0,2.5649493574615367,2020.0,5.0,2020.0,6.9
12.0,97.0,1.0,3.0,184.0,1107.0,9.0,2.5649493574615367,2007.0,18.0,2000.0,6.9
12.0,97.0,1.0,3.0,184.0,1107.0,9.0,2.5649493574615367,2007.0,18.0,2000.0,6.9
68.0,91.0,1.0,3.0,101.0,635.0,2.0,4.23410650459726,1994.0,31.0,1990.0,8.0
6.0,90.0,1.0,1.0,97.0,593.0,1.0,1.9459101490553132,2018.0,7.0,2010.0,7.0
23.0,101.0,1.0,3.0,17.0,98.0,2.0,3.1780538303479458,1979.0,46.0,1970.0,8.0
628.0,102.0,1.0,2.0,55.0,372.0,3.0,6.444131256700441,2003.0,22.0,2000.0,8.0
15.0,118.0,1.0,2.0,16.0,84.0,8.0,2.772588722239781,1999.0,26.0,1990.0,6.9
169.0,107.0,1.0,2.0,88.0,529.0,1.0,5.135798437050262,2015.0,10.0,2010.0,7.3
78.0,115.0,1.0,3.0,59.0,353.0,9.0,4.3694478524670215,2019.0,6.0,2010.0,7.6
78.0,115.0,1.0,3.0,59.0,353.0,9.0,4.3694478524670215,2019.0,6.0,2010.0,7.6
78.0,115.0,1.0,3.0,59.0,353.0,9.0,4.3694478524670215,2019.0,6.0,2010.0,7.6
78.0,115.0,1.0,3.0,78.0,496.0,9.0,4.3694478524670215,1994.0,31.0,1990.0,7.6
78.0,115.0,1.0,3.0,78.0,496.0,9.0,4.3694478524670215,1994.0,31.0,1990.0,7.6
78.0,115.0,1.0,3.0,78.0,496.0,9.0,4.3694478524670215,1994.0,31.0,1990.0,7.6
78.0,115.0,1.0,3.0,97.0,576.0,9.0,4.3694478524670215,2018.0,7.0,2010.0,7.6
78.0,115.0,1.0,3.0,97.0,576.0,9.0,4.3694478524670215,2018.0,7.0,2010.0,7.6
78.0,115.0,1.0,3.0,97.0,576.0,9.0,4.3694478524670215,2018.0,7.0,2010.0,7.6
454.0,91.0,0.0,3.0,59.0,325.0,1.0,6.12029741895095,1975.0,50.0,1970.0,8.5
95.0,78.0,1.0,6.0,51.0,296.0,1.0,4.564348191467836,2003.0,22.0,2000.0,7.7
28.0,129.0,1.0,3.0,26.0,145.0,1.0,3.367295829986474,1975.0,50.0,1970.0,7.4
64.0,89.0,1.0,4.0,57.0,340.0,1.0,4.174387269895637,2021.0,4.0,2020.0,7.9
14.0,197.0,0.0,1.0,142.0,894.0,1.0,2.70805020110221,2017.0,8.0,2010.0,7.7
219.0,83.0,0.0,1.0,62.0,369.0,2.0,5.393627546352362,1974.0,51.0,1970.0,7.8
31.0,95.0,1.0,1.0,63.0,363.0,1.0,3.4657359027997265,2024.0,1.0,2020.0,7.6
100.0,105.0,1.0,3.0,60.0,385.0,1.0,4.61512051684126,2006.0,19.0,2000.0,7.4
